candidate_id,name,skills,years_exp,applied_year
SYN-1000,Jordan Garcia,Project Management; Java; Excel,14,2022
SYN-1001,Chris Garcia,Machine Learning; Excel; Tableau,19,2022
SYN-1002,Alex Chen,Tableau; Scala; Python,7,2020
SYN-1003,Jordan Okafor,Scala; Tableau,16,2021
SYN-1004,Taylor Chen,Excel; Scala,10,2023
SYN-1005,Taylor Garcia,Python; Tableau; R,6,2023
SYN-1006,Drew Patel,Tableau; Java; Python,14,2024
SYN-1007,Jamie Kim,Tableau; Python; Scala,4,2020
SYN-1008,Drew Chen,Tableau; Excel; R; Machine Learning,2,2021
SYN-1009,Sam Johnson,Excel; Machine Learning,15,2024
SYN-1010,Morgan Patel,Machine Learning; Excel; Java,19,2024
SYN-1011,Alex Chen,R; Java,3,2020
SYN-1012,Drew Kim,Machine Learning; Scala; Tableau,10,2023
SYN-1013,Morgan Smith,Machine Learning; Tableau; Project Management; Java,14,2019
SYN-1014,Alex Ali,Python; Machine Learning; Tableau; Scala,0,2023
SYN-1015,Jordan Nguyen,SQL; Machine Learning; Tableau; Java,15,2022
SYN-1016,Drew Johnson,Machine Learning; SQL,8,2023
SYN-1017,Casey Garcia,Project Management; Machine Learning,10,2022
SYN-1018,Taylor Patel,Project Management; Java,7,2022
SYN-1019,Jordan Patel,SQL; Scala,1,2022
SYN-1020,Riley Patel,Project Management; Scala; Java,17,2023
SYN-1021,Quinn Brown,Project Management; R; Excel; Java,19,2024
SYN-1022,Jamie Dubois,Project Management; R; Excel,5,2020
SYN-1023,Quinn Okafor,Tableau; Project Management; Excel; R,15,2020
SYN-1024,Sam Smith,Project Management; Excel,18,2024
SYN-1025,Alex Fischer,SQL; R; Python; Scala,6,2022
SYN-1026,Riley Smith,Project Management; SQL; Excel,1,2024
SYN-1027,Avery Garcia,Java; Python; Scala; R,4,2023
SYN-1028,Chris Okafor,Tableau; Project Management; Java,11,2019
SYN-1029,Morgan Dubois,SQL; Python; Java,2,2021
SYN-1030,Jordan Ali,Machine Learning; Project Management,13,2023
SYN-1031,Riley Johnson,R; Scala,2,2024
SYN-1032,Morgan Patel,R; SQL,1,2024
SYN-1033,Sam Johnson,Python; Tableau,17,2024
SYN-1034,Quinn Dubois,SQL; Tableau; Excel,18,2022
SYN-1035,Jamie Dubois,Excel; Project Management,18,2019
SYN-1036,Avery Fischer,R; Machine Learning; Tableau,18,2019
SYN-1037,Quinn Chen,Python; Scala; SQL,4,2024
SYN-1038,Casey Garcia,Excel; Python; Machine Learning,17,2021
SYN-1039,Taylor Brown,Java; Python; R,1,2022
SYN-1040,Alex Okafor,SQL; R,9,2024
SYN-1041,Jordan Johnson,Scala; Python; Machine Learning; Excel,10,2019
SYN-1042,Jamie Garcia,SQL; Project Management; Excel; Tableau,18,2019
SYN-1043,Riley Johnson,Tableau; Excel,18,2024
SYN-1044,Jamie Fischer,SQL; Java; Scala; Tableau,11,2023
SYN-1045,Taylor Fischer,Java; SQL; Project Management,1,2021
SYN-1046,Chris Okafor,R; Python; Tableau; Machine Learning,6,2024
SYN-1047,Drew Brown,Project Management; Scala; Machine Learning; Java,9,2022
SYN-1048,Jamie Dubois,Java; Machine Learning,17,2020
SYN-1049,Jordan Garcia,Project Management; Python; Java; Excel,2,2019
SYN-1050,Casey Johnson,Scala; Tableau; SQL; R,18,2019
SYN-1051,Taylor Nguyen,R; Project Management; Java,14,2024
SYN-1052,Jamie Nguyen,Python; Tableau,18,2023
SYN-1053,Jamie Chen,SQL; Java; Python,6,2022
SYN-1054,Riley Okafor,Machine Learning; Scala; SQL,6,2020
SYN-1055,Taylor Garcia,Java; Project Management,4,2024
SYN-1056,Morgan Ali,Scala; Python; Java; SQL,15,2024
SYN-1057,Taylor Patel,Project Management; Python; Excel,5,2019
SYN-1058,Alex Kim,Tableau; Java,2,2021
SYN-1059,Morgan Okafor,Excel; Python,16,2024
SYN-1060,Jamie Brown,Excel; Scala; SQL,10,2024
SYN-1061,Riley Brown,Python; SQL,8,2022
SYN-1062,Sam Okafor,SQL; Python; Tableau; Machine Learning,6,2020
SYN-1063,Taylor Johnson,R; Python; Excel,15,2021
SYN-1064,Casey Okafor,Scala; Excel; Project Management,13,2020
SYN-1065,Drew Smith,Machine Learning; Scala; R,7,2021
SYN-1066,Quinn Kim,Machine Learning; Excel; R,5,2019
SYN-1067,Taylor Smith,Tableau; Scala; Machine Learning; Python,7,2024
SYN-1068,Casey Brown,Java; Scala; R; Project Management,6,2021
SYN-1069,Jamie Kim,Project Management; Scala; Excel,18,2021
SYN-1070,Casey Johnson,SQL; Python,3,2021
SYN-1071,Riley Okafor,Tableau; Java,11,2024
SYN-1072,Riley Smith,Python; Project Management,13,2022
SYN-1073,Riley Chen,SQL; Project Management; Machine Learning,0,2021
SYN-1074,Riley Nguyen,Excel; Java,14,2019
SYN-1075,Sam Dubois,SQL; R; Java,6,2022
SYN-1076,Jordan Dubois,Python; SQL; Scala,0,2024
SYN-1077,Drew Garcia,R; Project Management; Machine Learning; Excel,3,2023
SYN-1078,Jordan Fischer,Excel; Java; Python,12,2019
SYN-1079,Morgan Brown,Excel; Tableau; Java; Machine Learning,18,2023
SYN-1080,Taylor Kim,SQL; Project Management; Tableau,6,2023
